City: Addison, IL, X-Axis: 41.9316, Y-Axis: 88.0022
City: Porter, IN, X-Axis: 41.626, Y-Axis: 87.0718
City: Elmwood Park, IL, X-Axis: 41.9225, Y-Axis: 87.8154
City: River Grove, IL, X-Axis: 41.9258, Y-Axis: 87.8401
City: Michigantown, IN, X-Axis: 40.3281, Y-Axis: 86.3923
City: Franklin Park, IL, X-Axis: 41.9338, Y-Axis: 87.8735
City: Dune Acres, IN, X-Axis: 41.6464, Y-Axis: 87.0849
City: Burlington, IN, X-Axis: 40.4806, Y-Axis: 86.3945
City: Sandborn, IN, X-Axis: 38.8962, Y-Axis: 87.1851
City: Bensenville, IL, X-Axis: 41.958, Y-Axis: 87.9458
City: Schiller Park, IL, X-Axis: 41.9562, Y-Axis: 87.8704
City: Wood Dale, IL, X-Axis: 41.9631, Y-Axis: 87.9783
City: Gosport, IN, X-Axis: 39.3497, Y-Axis: 86.6655
City: Bruceville, IN, X-Axis: 38.757, Y-Axis: 87.415
City: Kirklin, IN, X-Axis: 40.1939, Y-Axis: 86.3601
City: Itasca, IL, X-Axis: 41.9747, Y-Axis: 88.0185
City: Westville, IN, X-Axis: 41.5459, Y-Axis: 86.904
City: Norridge, IL, X-Axis: 41.965, Y-Axis: 87.8239
City: Harwood Heights, IL, X-Axis: 41.9662, Y-Axis: 87.8056
City: Bloomfield, IN, X-Axis: 39.0246, Y-Axis: 86.9403
City: Edwardsport, IN, X-Axis: 38.8113, Y-Axis: 87.2517
City: Rosemont, IL, X-Axis: 41.9907, Y-Axis: 87.8738
City: Brownsburg, IN, X-Axis: 39.842, Y-Axis: 86.3956
City: Bicknell, IN, X-Axis: 38.7735, Y-Axis: 87.308
City: Elk Grove Village, IL, X-Axis: 42.0032, Y-Axis: 87.9964
City: Stinesville, IN, X-Axis: 39.2992, Y-Axis: 86.6501
City: Monrovia, IN, X-Axis: 39.5794, Y-Axis: 86.4804
City: Vincennes, IN, X-Axis: 38.6783, Y-Axis: 87.5161
City: Bass Lake, IN, X-Axis: 41.2307, Y-Axis: 86.5882
City: Whitestown, IN, X-Axis: 39.9961, Y-Axis: 86.3446
City: Newberry, IN, X-Axis: 38.9238, Y-Axis: 87.0189
